Symbol,Company,Sector
VRX,"Valeant Pharmaceuticals International, Inc.",Health Care
VSN,Veresen Inc.,Energy
VET,Vermilion Energy Inc.,Energy
WFT,West Fraser Timber Co. Ltd.,Materials
WEF,Western Forest Products Inc.,Materials
WJA,WestJet Airlines Ltd.,Industrials
WTE,Westshore Terminals Investment Corporation,Industrials
WCP,Whitecap Resources Inc.,Energy
WSP,WSP Global Inc.,Industrials
YRI,Yamana Gold Inc,Materials
